name,raw_name,specialty,norm_name,norm_specialty,source
"ד""ר הולנד רונן",הולנד רונן,מומחה בכירורגיה אורולוגית,רונן הולנד,בכירורגיה אורולוגית,IMA
"ד""ר הולנד רונן",הולנד רונן,,רונן הולנד,,IMA
"ד""ר גינזבורג ויקטור",גינזבורג ויקטור,"מומחה בכירורגית כלי-דם, מומחה בכירורגיה כללית",ויקטור גינזבורג,בכירורגית כלי-דם מומחה בכירורגיה כללית,IMA
"ד""ר גינזבורג ויקטור",גינזבורג ויקטור,,ויקטור גינזבורג,,IMA
"ד""ר חילו וסים",חילו וסים,מומחה במחלות עיניים,וסים חילו,במחלות עיניים,IMA
"ד""ר חילו וסים",חילו וסים,,וסים חילו,,IMA
"ד""ר ויצמן טל",ויצמן טל,מומחה בפסיכיאטריה,טל ויצמן,בפסיכיאטריה,IMA
"ד""ר ויצמן טל",ויצמן טל,,טל ויצמן,,IMA
"ד""ר בלומנקרנץ יוסף",בלומנקרנץ יוסף,מומחה במחלות עיניים,יוסף בלומנקרנץ,במחלות עיניים,IMA
"ד""ר בלומנקרנץ יוסף",בלומנקרנץ יוסף,,יוסף בלומנקרנץ,,IMA
פרופ מצר עידי,מצר עידי,מומחה במחלות עיניים,עידי מצר,במחלות עיניים,IMA
פרופ מצר עידי,מצר עידי,,עידי מצר,,IMA
"ד""ר גיפס משה",גיפס משה,מומחה בכירורגיה כללית,משה גיפס,בכירורגיה כללית,IMA
"ד""ר גיפס משה",גיפס משה,,משה גיפס,,IMA
"ד""ר ברקוביץ אבנר",ברקוביץ אבנר,מומחה במחלות א.א.ג וכירורגיה של ראש וצוואר,אבנר ברקוביץ,במחלות א.א.ג וכירורגיה של ראש וצוואר,IMA
"ד""ר ברקוביץ אבנר",ברקוביץ אבנר,,אבנר ברקוביץ,,IMA
"ד""ר שטיין מיקי",שטיין מיקי,מומחה ברפואת ילדים,מיקי שטיין,ברפואת ילדים,IMA
"ד""ר שטיין מיקי",שטיין מיקי,,מיקי שטיין,,IMA
"ד""ר אבו סאלח עלא",אבו סאלח עלא,"מומחה בטיפול נמרץ כללי, מומחה בנוירולוגיה",עלא סאלח אבו,בטיפול נמרץ כללי מומחה בנוירולוגיה,IMA
