moh_name,ima_name,norm_name,moh_specialty,ima_specialty,confidence,name_match,specialty_match,moh_idx,ima_idx
רוזנבוים זיו,רוזנבוים זיו,זיו רוזנבוים,נוירוכירורגיה,"מומחה במינהל רפואי, מומחה בנוירוכירורגיה",1.0,True,False,18615,5208
חיים אלון,חיים אלון,אלון חיים,אנדוקרינולוגיה ילדים,"מומחה באנדוקרינולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,18629,1962
נדיר ארז,נדיר ארז,ארז נדיר,רפואת ילדים,"מומחה בנאונטולוגיה, מומחה ברפואת ילדים",1.0,True,False,18647,3963
באום מיכה,באום מיכה,מיכה באום,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,18721,4394
שושן יגאל,שושן יגאל,יגאל שושן,נוירוכירורגיה,מומחה בנוירוכירורגיה,1.0,True,False,18738,2952
הידש גיורא,הידש גיורא,גיורא הידש,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,18755,5622
הוד חנוך,הוד חנוך,חנוך הוד,קרדיולוגיה,מומחה בקרדיולוגיה,1.0,True,False,18757,140
אור יובל,אור יובל,יובל אור,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,18768,1096
עומרי חוסאם,עומרי חוסאם,חוסאם עומרי,רפואת ילדים,"מומחה בנאונטולוגיה, מומחה ברפואת ילדים",1.0,True,False,18789,2958
דלי נג'יב,דלי נג'יב,נג'יב דלי,רפואה פנימית,"מומחה בהמטולוגיה, מומחה ברפואה פנימית",1.0,True,False,18793,2376
שולט עידו,שולט עידו,עידו שולט,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,18811,210
איתן רם,איתן רם,רם איתן,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,18814,2704
גיפס משה,גיפס משה,משה גיפס,כירורגיה כללית,מומחה בכירורגיה כללית,1.0,True,False,18878,182
אגר גבריאל,אגר גבריאל,גבריאל אגר,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,18884,3004
יסעור יפתח,יסעור יפתח,יפתח יסעור,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,18899,5754
חזן ינון,חזן ינון,ינון חזן,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,18905,224
מוסרי מוריס,מוסרי מוריס,מוריס מוסרי,קרדיולוגיה,מומחה בקרדיולוגיה,1.0,True,False,18927,4225
הוכנברג מרק,הוכנברג מרק,מרק הוכנברג,קרדיולוגיה,מומחה בקרדיולוגיה,1.0,True,False,18942,368
יהב אשר,יהב אשר,אשר יהב,דרמטולוגיה-מחלות עור ומין,מומחה במחלות עור ומין,1.0,True,False,18974,1461
כץ יצחק,כץ יצחק,יצחק כץ,רפואת ילדים,"מומחה במחלות ריאה ילדים, מומחה באימונולוגיה ואלרגולוגיה, מומחה ברפואת ילדים",1.0,True,False,18983,3330
בורשטין מיכאל,בורשטין מיכאל,מיכאל בורשטין,רפואה פנימית,מומחה ברפואה פנימית,1.0,True,False,18995,1859
מפרע עלי,מפרע עלי,עלי מפרע,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,19157,450
צימרמן יוסף,צימרמן יוסף,יוסף צימרמן,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,19175,2798
בריל שי,בריל שי,שי בריל,רפואה פנימית,"מומחה בגריאטריה, מומחה ברפואה פנימית",1.0,True,False,19181,4622
בריל זהר,בריל זהר,זהר בריל,קרדיולוגיה,מומחה בקרדיולוגיה,1.0,True,False,19187,2238
קוגלר דניאל,קוגלר דניאל,דניאל קוגלר,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,19237,422
כהן זהבי,כהן זהבי,זהבי כהן,כירורגית ילדים,מומחה בכירורגית ילדים,1.0,True,False,19257,424
ברלוביץ יצחק,ברלוביץ יצחק,יצחק ברלוביץ,רפואת ילדים,"מומחה במינהל רפואי, מומחה ברפואת ילדים",1.0,True,False,19259,4408
פרליץ יורי,פרליץ יורי,יורי פרליץ,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,19270,1666
וישליצקי ויקטור,וישליצקי ויקטור,ויקטור וישליצקי,רפואה פנימית,מומחה ברפואה פנימית,1.0,True,False,19282,874
גולדמן בולסלב,גולדמן בולסלב,בולסלב גולדמן,רפואה פנימית,"מומחה בגנטיקה רפואית, מומחה ברפואה פנימית",1.0,True,False,19292,5385
רוזנברג יצחק,רוזנברג יצחק,יצחק רוזנברג,רפואה פנימית,"מומחה במחלות ריאה, מומחה ברפואה פנימית",1.0,True,False,19326,4093
מולנר רוברט,מולנר רוברט,רוברט מולנר,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,19327,226
הרנוי קרול,הרנוי קרול,קרול הרנוי,נוירולוגיית ילדים,"מומחה בנוירו ילדים והתפתחות הילד, מומחה בנוירולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,19386,1180
לנדאו דוד,לנדאו דוד,דוד לנדאו,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,19465,1648
ארבר נדיר,ארבר נדיר,נדיר ארבר,רפואה פנימית,"מומחה בגסטרואנטרולוגיה, מומחה ברפואה פנימית",1.0,True,False,19550,1024
